headline	body	entity_name	predict
Rakutenと富士フィルムが新プロジェクトを開始	Rakutenと富士フィルムは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、Rakutenも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	楽天グループ, 富士フイルム	富士フイルム
SoftBankと富士フィルムが新プロジェクトを開始	SoftBankと富士フィルムは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、SoftBankも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	ソフトバンクグループ, 富士フイルム	ソフトバンクグループ, ソフトバンクグループ
Fujifilmとソニーが新プロジェクトを開始	Fujifilmとソニーは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、Fujifilmも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	富士フイルム, ソニーグループ	富士フイルム, 富士フイルム
えだのゆきおとWorld Bankが新プロジェクトを開始	えだのゆきおとWorld Bankは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、Mitsubishi Corporationも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	枝野幸男, 世界銀行, 三菱商事	三菱商事
れんほうとニンテンドーが新プロジェクトを開始	れんほうとニンテンドーは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、れんほうも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	蓮舫, 任天堂	任天堂
Shiseidoと小池都知事が新プロジェクトを開始	Shiseidoと小池都知事は本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、Shiseidoも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	資生堂, 小池百合子	資生堂, 資生堂
こいけゆりことSoftBankが新プロジェクトを開始	こいけゆりことSoftBankは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、トヨタも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	小池百合子, ソフトバンクグループ, トヨタ自動車	ソフトバンクグループ
WHOとUNが新プロジェクトを開始	WHOとUNは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、IMFも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	世界保健機関, 国際連合, 国際通貨基金	国際通貨基金
World BankとMitsubishi Corporationが新プロジェクトを開始	World BankとMitsubishi Corporationは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、れんほうも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	世界銀行, 三菱商事, 蓮舫	三菱商事
れんほうとWorld Bankが新プロジェクトを開始	れんほうとWorld Bankは本日、新たな協業プロジェクトを立ち上げると発表しました。 両者はそれぞれの技術とリソースを活用し、持続可能な成長を目指します。 また、れんほうも本プロジェクトに参加予定とのことです。 この動きにより、業界の再編が加速すると見られています。	蓮舫, 世界銀行	世界銀行
